file,noise_type,sigma,psnr_noisy,ssim_noisy,psnr_model,ssim_model,psnr_mean,ssim_mean,psnr_median,ssim_median,psnr_adaptive,ssim_adaptive,best_psnr,best_ssim
L1_46f1e070c10b19f952a8c2843517e2c8.npy,gaussian,0.0598,24.439,0.4579,38.776,0.9747,29.077,0.7798,30.753,0.7446,32.003,0.8697,model,model
L1_3c1ea258fc9f453fef5e30cf7db63033.npy,gaussian,0.0547,25.223,0.91,31.519,0.9805,29.104,0.9674,28.902,0.9638,29.251,0.9694,model,model
L1_56e50622d44a0389396f6bf7385f5948.npy,gaussian,0.0543,25.025,0.4524,38.272,0.9714,28.841,0.7706,28.399,0.7189,32.909,0.875,model,model
L1_360eb67d92e9755ef831f5101b0ad2a1.npy,gaussian,0.0495,26.062,0.5082,34.634,0.9039,31.526,0.7809,30.866,0.7347,32.729,0.8554,model,model
L1_311c75073b55001ed3f0456a090431cb.npy,gaussian,0.044,27.123,0.8981,27.852,0.8556,23.119,0.6625,24.291,0.6967,25.458,0.7255,model,model
L1_9db06594777e183499f98ff1592bd5ca.npy,gaussian,0.0428,27.402,0.4708,38.648,0.9619,28.269,0.8448,31.42,0.8027,35.701,0.9109,model,model
L1_4e45ac67f6200f64d12b634d65249bc5.npy,gaussian,0.0389,28.218,0.7453,38.195,0.9791,29.751,0.9315,33.496,0.9225,34.597,0.9665,model,model
L1_8d0de5b386ce6fdb47574f5fea1cf119.npy,gaussian,0.0325,29.393,0.9513,34.925,0.9855,30.903,0.9662,31.706,0.9708,30.495,0.961,model,model
L1_4fdc476bdcb3b1fcc77d31d936d462fc.npy,gaussian,0.0271,31.279,0.9739,35.0,0.9914,20.647,0.8859,23.822,0.9461,31.426,0.9844,model,model
L1_39f83e522bf9253d0b8396f8a7e4df06.npy,gaussian,0.0259,31.631,0.9782,35.457,0.9934,21.581,0.8866,24.088,0.9402,28.177,0.9705,model,model
L1_1c1e8956fac98283ac7d98177837bef4.npy,gaussian,0.0139,37.128,0.9711,40.406,0.9888,26.802,0.9474,33.83,0.9779,38.883,0.9847,model,model
L1_05c40295c2cec7c2404d3c168273a1e0.npy,gaussian,0.0058,44.69,0.996,46.607,0.9977,28.033,0.9575,32.003,0.9775,41.055,0.9925,model,model
L1_4dd07ecc701c2f95d5f08c167529f515.npy,gaussian,0.0045,46.701,0.9988,45.36,0.9984,29.033,0.9346,29.921,0.9488,29.461,0.9241,model,model
L1_a0c3864ee05ad92f28d82b5dba032208.npy,gaussian,0.0025,50.608,0.9994,36.466,0.9764,23.818,0.5831,23.703,0.5781,25.45,0.6365,model,model
L1_000f9e2e89ff8ffa8e3b9a6ac12bf490.npy,rician,0.1426,16.99,0.5583,24.225,0.7121,21.275,0.6524,20.819,0.6272,21.325,0.6533,model,model
L1_4a8cfe9222cb8ce9130e75858751ff2f.npy,rician,0.1383,17.33,0.4612,25.483,0.6601,21.399,0.6212,21.67,0.5895,22.151,0.6503,model,model
L1_38d80a1a238326b728d9ea7274dd2498.npy,rician,0.1364,13.09,0.2372,25.418,0.826,20.333,0.623,19.343,0.5435,20.97,0.6951,model,model
L1_2dcc564130f9019f9c508d6e85978e2d.npy,rician,0.1213,18.498,0.6929,22.514,0.726,19.325,0.5294,19.764,0.5411,20.47,0.5739,model,model
